회사명,종목코드,회계년도,종가,EBITDA,ROE,자산,당기순이익,판관비,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW
(주)두산,150,2018/12,111500.0,321671.87,-5.21,28880281620.0,-340510995.0,2107627394.0,18238102.0,2033548373000.0,-1.3274336283185861,18.810000000000002,1.345,37.125,1.02,-1.1790431945240845,1.0364284528381857
(주)두산,150,2019/12,70300.0,242771.49,23.52,29169746816.0,433106773.0,1897464366.0,16523835.0,1161625600500.0,-36.950672645739914,3.4699999999999998,1.065,15.43,1.065,1.4847807069838368,1.6334560508853042
(주)두산,150,2020/12,52400.0,173872.08,-34.34,30117622956.0,-963891957.0,2153151585.0,16523835.0,865848954000.0,-25.462304409672832,5.699999999999999,0.39999999999999997,0.0,0.665,-3.2004250747417453,2.486751961820814
(주)두산,150,2021/12,118000.0,117177.12,11.08,26009852172.0,656730965.0,1296535307.0,16523835.0,1949812530000.0,125.19083969465647,5.0600000000000005,0.7000000000000001,0.0,2.15,2.5249315553856966,0.6649538286637229
(주)두산,150,2022/12,83100.0,111423.15,-35.21,26315352623.0,-581168718.0,1712018291.0,16523835.0,1373130688500.0,-29.57627118644067,11.675,0.665,0.0,1.9,-2.2084777898512753,1.2467992342886158
(주)보령,3850,2017/12,48000.0,17678.84,22.71,402516283.0,56478219.0,166797184.0,8840000.0,424320000000.0,-42.238267148014444,7.945,1.965,0.0,1.04,14.031288021210312,0.39309291101055804
(주)보령,3850,2018/12,9980.0,41168.11,8.03,450017573.0,20306902.0,163658153.0,44200000.0,441116000000.0,-79.20833333333334,14.155,1.365,8.315000000000001,0.705,4.512468671973394,0.3710093331459299
(주)보령,3850,2019/12,16600.0,56526.94,11.95,507628914.0,32221803.0,183930856.0,44200000.0,733720000000.0,66.33266533066133,16.91,2.18,12.344999999999999,1.1099999999999999,6.347511363389359,0.2506826255247233
(주)보령,3850,2020/12,19050.0,67222.57,8.62,647993966.0,26859762.0,191455287.0,47620000.0,907161000000.0,14.75903614457832,26.450000000000003,2.46,15.940000000000001,1.3199999999999998,4.145063597706402,0.21104885130643844
(주)보령,3850,2021/12,14600.0,81024.67,10.58,828641139.0,43119260.0,223489129.0,68690000.0,1002874000000.0,-23.359580052493435,52.870000000000005,3.895,20.065,2.415,5.203610823864732,0.22284866194556843
