,회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),원재료(부재료)(IFRS연결)(천원),"선급공사비,외주비(IFRS연결)(천원)",매출액(수익)(*)(IFRS연결)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원)
127,에스케이네트웍스(주),1740,2020/03,10357922000.0,715958000.0,8130750000.0,4240487000.0,4750799000.0,38974000.0,0.0,2874582000.0,8763000.0,3555000.0,-3254000.0
128,에스케이바이오사이언스(주),302440,2020/03,,,,,,,,,,,
129,에스케이바이오팜(주),326030,2020/03,187925685.0,111118690.0,265138386.0,143269947.0,256057470.0,8555447.0,0.0,3927784.0,-66088780.0,506401.0,-66595182.0
130,에스케이씨(주),11790,2020/03,5759592674.0,454183057.0,3546321217.0,1411373395.0,1801235095.0,118971354.0,0.0,661131445.0,141241614.0,55188239.0,86053374.0
131,에스케이케미칼(주),285130,2020/03,2086475725.0,93475637.0,1360046283.0,812802619.0,700094837.0,63165608.0,0.0,252547609.0,3868281.0,-2499996.0,13002898.0
132,에스케이텔레콤(주),17670,2020/03,44322126000.0,1117766000.0,21772611000.0,8122901000.0,7588697000.0,12885000.0,0.0,4450396000.0,369995000.0,63148000.0,306847000.0
133,에스케이하이닉스(주),660,2020/03,67142787000.0,2169664000.0,18895063000.0,15799759000.0,8707249000.0,680708000.0,0.0,7198892000.0,928533000.0,279483000.0,649050000.0
134,에쓰-오일(주),10950,2020/03,16318207000.0,1507812000.0,10734044000.0,5571199000.0,6278317000.0,1202090000.0,0.0,5198401000.0,-1209339000.0,-328697000.0,-880642000.0
135,에이치디씨현대산업개발(주),294870,2020/03,5339689607.0,661174410.0,2707081143.0,4145221176.0,1984910336.0,1338000.0,0.0,1006686986.0,144609011.0,39753323.0,104855688.0
136,에이치디한국조선해양(주),9540,2020/03,26093238849.0,4162496256.0,13019340541.0,13575882745.0,9884949615.0,591251717.0,0.0,3944562968.0,219228860.0,54307005.0,164921855.0
137,에이치디현대인프라코어(주),42670,2020/03,12455703583.0,892972301.0,7952958963.0,5142846291.0,5116506050.0,575332000.0,0.0,2009265030.0,125781948.0,51152872.0,74629076.0
138,에이치엘만도(주),204320,2020/03,4661678306.0,308265238.0,3046195619.0,2164570115.0,1753613768.0,185502732.0,0.0,1310088168.0,13925926.0,4378618.0,9547308.0
139,에이치엠엠(주),11200,2020/03,7227894000.0,253298000.0,6190572000.0,1077558000.0,1728498000.0,0.0,0.0,1313107000.0,-64680000.0,920000.0,-65600000.0
140,엔에이치투자증권(주),5940,2020/03,,,,,,,,,,,
141,엘아이지넥스원(주),79550,2020/03,2550437119.0,154171882.0,1915940063.0,1609679866.0,1469145854.0,102308385.0,2651766.0,352181736.0,25494723.0,2844435.0,22650288.0
142,엘지디스플레이(주),34220,2020/03,35885572000.0,3558386000.0,23322511000.0,10158676000.0,11213456000.0,543441000.0,0.0,4724249000.0,-294873000.0,-95976000.0,-198897000.0
143,엘지전자(주),66570,2020/03,45570152000.0,4862760000.0,28179481000.0,20498178000.0,17150862000.0,2287845000.0,0.0,14727803000.0,1389373000.0,302642000.0,1086731000.0
144,중소기업은행,24110,2020/03,,,,,,,,,,,
145,지에스건설(주),6360,2020/03,14131363699.0,2052973009.0,9991930474.0,7783284437.0,6199819326.0,47442000.0,96124000.0,2441472795.0,184662960.0,53150681.0,131512279.0
146,코스맥스(주),192820,2020/03,1274208741.0,76700407.0,955060614.0,671461040.0,780317880.0,123569893.0,0.0,328492903.0,14564863.0,13369028.0,1195836.0
147,코오롱인더스트리(주),120110,2020/03,5228607523.0,123680654.0,3010203683.0,2107306944.0,2126811487.0,131525837.0,0.0,989298371.0,230948569.0,67208455.0,163070956.0
148,코웨이(주),21240,2020/03,2964467170.0,146542669.0,1772045262.0,854175824.0,1568848098.0,7005554.0,0.0,768937144.0,138333659.0,36778040.0,101555619.0
